2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01
ELD,ELD,ELD,MCR,MCR,MCR,PXS,BRM,BRM,PDN,GNS,WEC,SLM1,SLM1,CDD,BPT,PAN,IVA,PAN,DLS,PAN,HT1,HT1,DLS,GRY,GRY,GRY,TRY,BTU,DML,BBG,MAH,SLR,SLR,CBA,CBA,CBA,CBA,BHP,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CSL,CSL,CSL,CSL,CBA,CSL,CSL,CSL,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA,CBA
MDL,MDL,IFN,IFN,BOW,IFN,GNS,GBG,IFN,GNS,TPI,GNS,ERA,SLX,SLM1,PAN,MBN,PAN,MBN,A1M,HT1,MAH,LNC,HT1,SAR,PXS,PXS,BTU,MBN,BTU,PIR,IMD,EHL,EHL,BHP,BHP,BHP,BHP,CBA,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,CSL,BHP,CSL,CSL,CSL,CSL,CSL,CBA,CBA,CBA,CBA,CSL,CBA,CBA,CBA,CSL,CSL,BHP,BHP,BHP,BHP,BHP,BHP,BHP,CSL,CSL,CSL,CSL,CSL
MAH,TRS,TRS,BOW,TRS,OMH,MMX,GNS,MMX,PXS,IVA,SLM1,PAN,PAN,ERA,ERA,RMS,RMS,LNC,PAN,A1M,LNC,MAH,MAH,BTU,SAR,SAR,GBG,DML,CPL,IMD,BBG,MAH,MAH,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,BHP,BHP,BHP,BHP,ANZ,BHP,BHP,ANZ,NAB,NAB,NAB,NAB,ANZ,ANZ,NAB,ANZ,NAB,NAB,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,BHP,ANZ,ANZ,BHP,BHP,BHP,BHP,BHP,WBC,WBC,WBC,WBC,CSL,WBC,WBC,WBC,WBC,CSL,WBC,WBC,WBC,WBC,WBC,CSL,BHP,CSL,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,CSL,CSL,CSL,CSL,CSL,CSL,CSL,BHP,BHP,BHP,BHP,BHP
BOW,MAH,MDL,TRS,OMH,BOW,BRM,MMX,GNS,ERA,SLM1,SLX,SMX,ERA,PAN,MBN,IVA,MBN,BTU,LNC,LNC,GBG,BTU,BTU,GBG,BTU,BTU,CPL,TRY,GBG,MAH,EHL,IMD,IMD,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,BHP,ANZ,ANZ,NAB,ANZ,BHP,ANZ,ANZ,NAB,NAB,ANZ,TLS,ANZ,ANZ,NAB,TLS,TLS,NAB,NAB,NAB,BHP,NAB,BHP,NAB,NAB,NAB,NAB,NAB,BHP,ANZ,NAB,NAB,ANZ,ANZ,ANZ,ANZ,ANZ,NAB,CSL,CSL,CSL,WBC,CSL,CSL,CSL,CSL,WBC,CSL,CSL,CSL,CSL,CSL,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,NAB,NAB,NAB,WBC,WBC,WBC,WBC,WBC,WBC,WBC,WBC,NAB,NAB,NAB
TRS,BOW,BOW,MMX,MAH,PXS,HIL,IFN,PXS,IVA,SLX,ERA,GRY,PXS,SMX,RMS,ERA,AST,GRY,BTU,SAR,BTU,ERA,LNC,AOG,GBG,GBG,MBN,GBG,MBN,SDL,MDL,FWD,FWD,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,BHP,BHP,ANZ,BHP,BHP,TLS,TLS,TLS,NAB,TLS,BHP,TLS,NAB,NAB,BHP,BHP,BHP,NAB,BHP,NAB,BHP,BHP,BHP,BHP,BHP,NAB,NAB,BHP,BHP,NAB,NAB,NAB,NAB,NAB,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,NAB,NAB,NAB,ANZ,NAB,NAB,ANZ,ANZ,NAB,NAB,NAB,NAB,NAB,NAB,WBC,WBC,WBC,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,WBC,ANZ,WBC
MXG,MCR,MCR,SLM1,SLM1,GNS,IFN,HIL,HIL,SLM1,PAN,PAN,SLX,SMX,PXS,SAR,SAR,FMS,A1M,MBN,FKP,ERA,IMD,IMD,ERA,TRY,TRY,PIR,CPL,TRY,KCN,SDL,BBG,BBG,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,BHP,BHP,BHP,BHP,BHP,TLS,BHP,BHP,BHP,TLS,TLS,TLS,TLS,TLS,TLS,TLS,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,NAB,ANZ,ANZ,ANZ,NAB,ANZ,ANZ,NAB,NAB,ANZ,ANZ,WES,WES,WES,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,ANZ,WBC,ANZ
OMH,MXG,MAH,HIL,MMX,HIL,ERA,PXS,IVA,PAN,PXS,SMX,HT1,HT1,MXG,BOQ,GRY,GRY,CPL,HT1,BTU,SAR,SAR,GRY,TRY,ERA,PIR,MAH,PIR,PIR,MDL,PIR,SDL,SDL,WOW,WES,WES,WOW,WOW,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,WES,WES,WES,WES,CSL,CSL,TLS,TLS,TLS,TLS,TLS,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WOW,WOW,WOW,MQG,MQG,MQG,TLS,TLS,TLS,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WES,ANZ,ANZ,ANZ,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,MQG,MQG,MQG
MCR,IFN,MXG,MAH,IFN,TRS,SLM1,SLM1,ERA,AOG,RMS,IVA,AOG,MXG,AOG,AOG,MXG,LNC,HT1,CPL,MBN,CPL,TEN,ERA,ROC1,SPL,ERA,SPL,BBG,IMD,SPL,CDU,CDU,CDU,WES,WOW,WOW,WES,WES,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,CSL,CSL,CSL,CSL,WES,WES,WES,WES,WES,WES,WES,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,TLS,WOW,WOW,WOW,MQG,MQG,WOW,MQG,WES,TLS,WOW,WOW,WOW,WES,WOW,WOW,WES,WES,WES,WES,WES,WES,WES,WES,WES,WES,WOW,WOW,WOW,WOW,WOW,MQG,WOW,WOW,WOW,MQG,MQG,WOW,MQG,MQG,MQG,MQG,WES,WES,WES
SLM1,OMH,HIL,OMH,HIL,MMX,MAH,ERA,SLM1,TPI,CER,RMS,IVA,ALG,RMS,MXG,LNC,A1M,AOG,GRY,GRY,AQP,GRY,SAR,CPL,EWC,SPL,IMD,MAH,BBG,NST,FWD,PIR,PIR,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,CSL,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,WOW,MQG,MQG,MQG,TLS,TLS,MQG,WES,MQG,MQG,WES,TLS,WES,WOW,WES,WES,TLS,TLS,MQG,TLS,MQG,MQG,MQG,TLS,TLS,TLS,MQG,MQG,MQG,MQG,MQG,WOW,MQG,MQG,MQG,WOW,WOW,MQG,WOW,RIO,WOW,WOW,WOW,WOW,TLS
CRZ,TPG,SLM1,MXG,ERA,WEC,PAN,MAH,PAN,WEC,AOG,HT1,PXS,RMS,ALG,IVA,FMS,ERA,SAR,SAR,AOG,MBN,AQP,SPL,SMX,SMX,DML,ERA,ERA,MAH,EHL,KCN,BLY,BLY,RIO,RIO,RIO,RIO,RIO,RIO,WPL,WPL,WPL,WPL,WPL,WPL,WPL,WPL,WPL,WPL,RIO,WPL,WPL,WPL,WPL,WPL,WPL,MQG,MQG,MQG,MQG,MQG,SCG,SCG,SCG,MQG,SCG,SCG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,MQG,RIO,MQG,MQG,RIO,RIO,TLS,WOW,WOW,TLS,TLS,TLS,WES,TLS,WES,TLS,MQG,MQG,MQG,MQG,MQG,TLS,MQG,TLS,TLS,TLS,TCL,TCL,TCL,TCL,TLS,TCL,TCL,TCL,TCL,RIO,RIO,RIO,RIO,RIO,RIO,RIO,WOW,TLS,TLS,TLS,TLS,WOW
